title,location,price,sq_ft,property_image,area,facing,status,floor,furnishing,hold_type,bathroom,map_url
2 BHK Apartment / Flat for Sale,"GH 13 Paschim Vihar, New Delhi",1.25Cr,"10,417/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1200,North-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.670343&lng=77.081631
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.81Cr,"21,531/Sq Ft.",https://www.propertiesguru.com/media/property/5355/building/small-65d55b2f-c545-43e3-a32b-57add9b77653.jpg,2234,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5249975&lng=77.280881
2 BHK Apartment / Flat for Sale,"Chirag Delhi, New Delhi",45Lac,"56,250/Sq Yd.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,80,South,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5388874&lng=77.2282049
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.82Cr,"21,576/Sq Ft.",https://www.propertiesguru.com/media/property/5330/building/small-39ec30b1-bb1f-4857-bf64-1dd73e6a86b7.jpg,2234,North-East,Under Construction,9th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5249975&lng=77.280881
2 BHK Studio Apartment for Sale,"Paschim Vihar, New Delhi",1.2Cr,"12,000/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1000,East,Ready to Move,3rd of 4 Floor,Fully Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6677244&lng=77.0979515
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.2Cr,"10,000/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1200,South-East,Ready to Move,4th of 4 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6688822735659&lng=77.08067270952606
2 BHK Apartment / Flat for Sale,"Paschim Vihar, New Delhi",1.6Cr,"13,333/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1200,South-East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,3 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6677244&lng=77.0979515
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"11,175/Sq Ft.",https://www.propertiesguru.com/media/property/5006/building/small-download.jpg,1387,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6551323&lng=77.1455123
2 BHK Apartment / Flat for Sale,"Govindpuri Main, New Delhi",30Lac,"3,333/Sq Yd.",https://www.propertiesguru.com/media/property/4983/building/small-img20200608142700.jpg,900,East,Ready to Move,1st of 4 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5377519&lng=77.2618031
2 BHK Apartment / Flat for Sale,"Okhla Phase 1, New Delhi",4.49Cr,"20,098/Sq Ft.",https://www.propertiesguru.com/media/property/4903/building/small-fb298e28-02bf-4058-8f67-3037a15865bd.jpg,2234,North-East,Under Construction,18th of 29 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.5249975&lng=77.280881
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"11,175/Sq Ft.",https://www.propertiesguru.com/media/property/4870/building/small-images.jpg,1387,North-East,Ready to Move,14th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6551323&lng=77.1455123
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"11,175/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1387,North-East,Ready to Move,6th of 26 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6551323&lng=77.1455123
2 BHK Apartment / Flat for Sale,"Moti Nagar, New Delhi",1.55Cr,"11,175/Sq Ft.",https://www.propertiesguru.com/media/images/nopropertyimage.jpg,1387,North-East,Ready to Move,3rd of 26 Floor,Semi Furnished,Freehold,2 Bathroom,https://www.propertiesguru.com/detail?largemap=y&lat=28.6551323&lng=77.1455123
